objectid,GlobalID,How Were the Subject(s) Found?,Specify Other for How Subject(s) Were Found,Subject Mobility and Responsiveness,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Linked_Incident_UUID,Linked_Team,Linked_Incident_Date,Found_Date,Found_UUID,x,y
3,865bbdab-a0d9-41a2-bbfe-719c126a697d,FAMILY/FRIENDS,,Mobile_and_Responsive,28f4259e-b894-4a59-b611-0e628b492642,2/3/2018 8:22:03 PM,B81105,2/3/2018 8:22:03 PM,B81105,,,,,,-79.8978100000205,40.4535800000051
4,f84b153a-2824-4ccf-8a54-7e4c29445dde,FAMILY/FRIENDS,,Immobile_and_Unresponsive,7228a2a3-59d6-44b3-ac5c-526ff0a5b039,2/3/2018 8:33:28 PM,B81105,2/3/2018 8:33:28 PM,B81105,,,,,,-80.4203299997573,41.1060099998485
5,1937afbb-cc98-4dd6-b117-a565e9c31573,SELF-RESCUED,,Mobile_and_Responsive,30a18fa1-f30b-4b9c-bf83-49b000233438,2/4/2018 5:20:23 PM,B81105,2/4/2018 5:20:23 PM,B81105,,,,,,-79.7241799998986,39.9020999997982
6,36607994-73b6-4393-be14-2b24559eb5c0,OTHER,info was not provided by lead agency,Mobile_and_Responsive,,2/5/2018 10:22:37 PM,MRA_Admin,2/5/2018 10:22:37 PM,MRA_Admin,,,,,,-76.2634799997934,42.1045700001079
7,aeb06071-4756-4149-9acc-d9dfb408c160,"CELL_PHONE_TOWER,GROUND_TEAM",,Mobile_and_Responsive,,2/5/2018 10:22:38 PM,MRA_Admin,2/5/2018 10:22:38 PM,MRA_Admin,,,,,,-106.569609999661,39.572890000153
9,8cbba2fe-666b-4bbd-b3da-ea3e13551423,SELF-RESCUED,,"Mobile_and_Responsive,Immobile_and_Responsive",e61660f8-8931-4094-94d2-8d409330dd73,2/11/2018 10:32:57 PM,B81105,2/11/2018 10:32:57 PM,B81105,,,,,,-79.8285300002195,40.6207999997793
10,06672522-bd8b-4bb5-be17-243cd13a8c99,SELF-RESCUED,,Mobile_and_Responsive,fd50af14-6d80-42ef-a351-3217472a307b,2/12/2018 9:37:06 PM,H831829,2/12/2018 9:37:06 PM,H831829,,,,,,-106.516831135348,39.6045965047028
13,29c5ddf2-356e-4837-9ca6-bea1ba34e1a7,AIRCRAFT-HELICOPTER,,Mobile_and_Unresponsive,a1ec1afa-4efe-42e6-9d2e-05955a7b5709,2/16/2018 12:10:08 AM,C69165,2/16/2018 12:10:08 AM,C69165,,,,,,-116.890100000226,32.8645000002618
14,6d77ba2b-e957-4d12-9cac-63460856868a,"CONFINEMENT,GROUND_TEAM",,Mobile_and_Responsive,4e545d31-0958-4545-bd77-8e86c911bc5a,2/20/2018 12:14:18 AM,G58121,2/20/2018 12:14:18 AM,G58121,,,,,,-122.0575,43.6788300000513
15,d2b7333f-75ed-4ece-8a9c-60d3a089c16e,INVESTIGATIVE,,Mobile_and_Responsive,d2529321-6a3e-4c63-b33b-95869f357d70,2/20/2018 1:19:10 PM,B81105,1/26/2019 7:47:45 PM,MRA_Admin,,,,,,-122.427673300348,47.7571637239879
